date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:29	63199/63199	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:23%20GMT	https://demo.zytheme.com/equita/home-modern.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/home-modern.html	(from )
12:05:32	1873/1873	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2011:05:31%20GMT	https://demo.zytheme.com/robots.txt		(from )
12:05:33	875/875	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/favicon/favicon.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/favicon/favicon.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:33	227028/227028	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2002:46:10%20GMT	https://demo.zytheme.com/equita/assets/css/vendor.min.css	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/css/vendor.min.css	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:34	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Fri,%2025%20Apr%202025%2011:05:34%20GMT	https://demo.zytheme.com/cdn-cgi/zaraz/s.js?z=	C:/Users/dahur/Downloads/fam/demo.zytheme.com/cdn-cgi/zaraz/sd0d9.js	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:34	277330/277330	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2002:47:40%20GMT	https://demo.zytheme.com/equita/assets/css/style.css	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/css/style.css	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:35	1904/1904	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/logo/logo-light.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/logo/logo-light.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:35	70217/70217	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:23%20GMT	https://demo.zytheme.com/equita/index.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/index.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:36	61884/61884	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:23%20GMT	https://demo.zytheme.com/equita/home-classic.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/home-classic.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:37	3285/3285	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/logo/logo-dark.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/logo/logo-dark.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:37	42842/42842	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:27%20GMT	https://demo.zytheme.com/equita/page-about.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-about.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:37	30979/30979	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:28%20GMT	https://demo.zytheme.com/equita/page-core.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-core.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:38	26014/26014	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:30%20GMT	https://demo.zytheme.com/equita/page-team.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-team.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:38	36273/36273	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:29%20GMT	https://demo.zytheme.com/equita/page-locations.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-locations.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:39	29451/29451	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:29%20GMT	https://demo.zytheme.com/equita/page-gallery.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-gallery.html	(from https://demo.zytheme.com/equita/home-modern.html)
